"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"JA000047420","NEMURO, JA","1931-03-05",,"-2.6","-8.6"
"JA000047420","NEMURO, JA","1931-03-06",,"1.2","-11.4"
"JA000047420","NEMURO, JA","1931-03-07",,"1.3","-6.8"
"JA000047420","NEMURO, JA","1931-03-08",,"-1.8","-9.9"
"JA000047420","NEMURO, JA","1931-03-09",,"2.6","-5.9"
"JA000047420","NEMURO, JA","1931-03-10",,"0.7","-11.5"
"JA000047420","NEMURO, JA","1931-03-11",,"3.9","-3.0"
"JA000047420","NEMURO, JA","1931-03-12",,"1.7","-2.4"
"JA000047420","NEMURO, JA","1931-03-13",,"-0.7","-4.6"
"JA000047420","NEMURO, JA","1931-03-14",,"-3.5","-6.1"
"JA000047420","NEMURO, JA","1931-03-15",,"-2.1","-7.4"
"JA000047420","NEMURO, JA","1931-03-16",,"1.4","-8.7"
"JA000047420","NEMURO, JA","1931-03-17",,"2.7","-3.0"
"JA000047420","NEMURO, JA","1931-03-18",,"3.3","-4.4"
"JA000047420","NEMURO, JA","1931-03-19",,"-1.0","-5.5"
"JA000047420","NEMURO, JA","1931-03-20",,"-0.1","-5.8"
"JA000047420","NEMURO, JA","1931-03-21",,"2.0","-2.1"
"JA000047420","NEMURO, JA","1931-03-22",,"3.8","-1.5"
"JA000047420","NEMURO, JA","1931-03-23",,"4.2","-0.1"
"JA000047420","NEMURO, JA","1931-03-24",,"4.4","-0.5"
"JA000047420","NEMURO, JA","1931-03-25",,"1.0","-1.2"
"JA000047420","NEMURO, JA","1931-03-26",,"1.6","-3.9"
"JA000047420","NEMURO, JA","1931-03-27",,"1.8","-3.7"
"JA000047420","NEMURO, JA","1931-03-28",,"0.3","-3.5"
"JA000047420","NEMURO, JA","1931-03-29",,"3.9","-2.9"
"JA000047420","NEMURO, JA","1931-03-30",,"7.9","-2.6"
"JA000047420","NEMURO, JA","1931-03-31",,"4.4","-3.6"
"JA000047420","NEMURO, JA","1931-04-01",,"1.0","-2.5"
"JA000047420","NEMURO, JA","1931-04-02",,"0.5","-1.8"
"JA000047420","NEMURO, JA","1931-04-03",,"2.9","-2.2"
"JA000047420","NEMURO, JA","1931-04-04",,"4.2","-2.4"
"JA000047420","NEMURO, JA","1931-04-05",,"6.5","0.4"
"JA000047420","NEMURO, JA","1931-04-06",,"6.2","0.7"
"JA000047420","NEMURO, JA","1931-04-07",,"4.3","0.3"
"JA000047420","NEMURO, JA","1931-04-08",,"0.8","-3.2"
"JA000047420","NEMURO, JA","1931-04-09",,"2.2","-3.5"
"JA000047420","NEMURO, JA","1931-04-10",,"9.9","-2.0"
"JA000047420","NEMURO, JA","1931-04-11",,"5.8","-1.7"
"JA000047420","NEMURO, JA","1931-04-12",,"2.6","-3.1"
"JA000047420","NEMURO, JA","1931-04-13",,"4.4","-3.4"
"JA000047420","NEMURO, JA","1931-04-14",,"3.4","-0.6"
"JA000047420","NEMURO, JA","1931-04-15",,"8.7","1.2"
"JA000047420","NEMURO, JA","1931-04-16",,"5.9","0.9"
"JA000047420","NEMURO, JA","1931-04-17",,"7.2","-1.5"
"JA000047420","NEMURO, JA","1931-04-18",,"2.9","-2.2"
"JA000047420","NEMURO, JA","1931-04-19",,"5.7","-5.5"
"JA000047420","NEMURO, JA","1931-04-20",,"8.4","-0.4"
"JA000047420","NEMURO, JA","1931-04-21",,"6.5","1.9"
"JA000047420","NEMURO, JA","1931-04-22",,"7.9","2.4"
"JA000047420","NEMURO, JA","1931-04-23",,"6.5","0.0"
"JA000047420","NEMURO, JA","1931-04-24",,"12.8","0.0"
"JA000047420","NEMURO, JA","1931-04-25",,"5.6","2.8"
"JA000047420","NEMURO, JA","1931-04-26",,"11.0","2.4"
"JA000047420","NEMURO, JA","1931-04-27",,"7.8","-1.3"
"JA000047420","NEMURO, JA","1931-04-28",,"0.8","-1.4"
"JA000047420","NEMURO, JA","1931-04-29",,"2.9","-0.5"
"JA000047420","NEMURO, JA","1931-04-30",,"3.1","-0.3"
"JA000047420","NEMURO, JA","1931-05-01",,"3.0","-0.6"
"JA000047420","NEMURO, JA","1931-05-02",,"2.4","-1.4"
"JA000047420","NEMURO, JA","1931-05-03",,"2.4","-3.3"
"JA000047420","NEMURO, JA","1931-05-04",,"4.9","-0.3"
"JA000047420","NEMURO, JA","1931-05-05",,"7.3","0.2"
"JA000047420","NEMURO, JA","1931-05-06",,"22.3","1.8"
"JA000047420","NEMURO, JA","1931-05-07",,"16.5","5.5"
"JA000047420","NEMURO, JA","1931-05-08",,"5.9","0.6"
"JA000047420","NEMURO, JA","1931-05-09",,"7.1","-0.5"
"JA000047420","NEMURO, JA","1931-05-10",,"5.7","1.3"
"JA000047420","NEMURO, JA","1931-05-11",,"12.4","3.5"
"JA000047420","NEMURO, JA","1931-05-12",,"10.5","2.3"
"JA000047420","NEMURO, JA","1931-05-13",,"9.6","1.9"
"JA000047420","NEMURO, JA","1931-05-14",,"9.7","0.7"
"JA000047420","NEMURO, JA","1931-05-15",,"11.3","3.1"
"JA000047420","NEMURO, JA","1931-05-16",,"9.4","4.8"
"JA000047420","NEMURO, JA","1931-05-17",,"17.3","5.5"
"JA000047420","NEMURO, JA","1931-05-18",,"7.4","-0.5"
"JA000047420","NEMURO, JA","1931-05-19",,"10.5","-1.0"
"JA000047420","NEMURO, JA","1931-05-20",,"7.1","1.6"
"JA000047420","NEMURO, JA","1931-05-21",,"8.0","1.6"
"JA000047420","NEMURO, JA","1931-05-22",,"7.9","2.7"
"JA000047420","NEMURO, JA","1931-05-23",,"7.2","2.5"
"JA000047420","NEMURO, JA","1931-05-24",,"4.2","1.9"
"JA000047420","NEMURO, JA","1931-05-25",,"6.6","2.0"
"JA000047420","NEMURO, JA","1931-05-26",,"8.9","3.2"
"JA000047420","NEMURO, JA","1931-05-27",,"12.7","3.3"
"JA000047420","NEMURO, JA","1931-05-28",,"14.0","5.7"
"JA000047420","NEMURO, JA","1931-05-29",,"8.5","4.2"
"JA000047420","NEMURO, JA","1931-05-30",,"8.2","4.2"
"JA000047420","NEMURO, JA","1931-05-31",,"11.9","3.5"
"JA000047420","NEMURO, JA","1931-06-01",,"11.8","3.6"
"JA000047420","NEMURO, JA","1931-06-02",,"7.4","2.8"
"JA000047420","NEMURO, JA","1931-06-03",,"4.4","2.5"
"JA000047420","NEMURO, JA","1931-06-04",,"7.2","2.4"
"JA000047420","NEMURO, JA","1931-06-05",,"5.7","3.5"
"JA000047420","NEMURO, JA","1931-06-06",,"6.6","3.8"
"JA000047420","NEMURO, JA","1931-06-07",,"11.3","4.4"
"JA000047420","NEMURO, JA","1931-06-08",,"10.9","4.4"
"JA000047420","NEMURO, JA","1931-06-09",,"8.6","4.1"
"JA000047420","NEMURO, JA","1931-06-10",,"8.6","4.7"
"JA000047420","NEMURO, JA","1931-06-11",,"7.7","3.5"
"JA000047420","NEMURO, JA","1931-06-12",,"6.7","2.8"
"JA000047420","NEMURO, JA","1931-06-13",,"6.7","3.8"
"JA000047420","NEMURO, JA","1931-06-14",,"13.7","4.9"
"JA000047420","NEMURO, JA","1931-06-15",,"10.6","4.8"
"JA000047420","NEMURO, JA","1931-06-16",,"12.5","5.7"
"JA000047420","NEMURO, JA","1931-06-17",,"15.7","5.5"
"JA000047420","NEMURO, JA","1931-06-18",,"16.4","6.6"
"JA000047420","NEMURO, JA","1931-06-19",,"17.2","7.0"
"JA000047420","NEMURO, JA","1931-06-20",,"18.7","10.5"
"JA000047420","NEMURO, JA","1931-06-21",,"17.1","9.2"
"JA000047420","NEMURO, JA","1931-06-22",,"16.4","9.3"
"JA000047420","NEMURO, JA","1931-06-23",,"14.9","8.6"
"JA000047420","NEMURO, JA","1931-06-24",,"14.0","9.8"
"JA000047420","NEMURO, JA","1931-06-25",,"14.2","8.9"
"JA000047420","NEMURO, JA","1931-06-26",,"16.8","10.7"
"JA000047420","NEMURO, JA","1931-06-27",,"16.8","11.1"
"JA000047420","NEMURO, JA","1931-06-28",,"13.3","9.9"
"JA000047420","NEMURO, JA","1931-06-29",,"15.0","10.5"
"JA000047420","NEMURO, JA","1931-06-30",,"16.6","11.8"
"JA000047420","NEMURO, JA","1931-07-01",,"15.9","9.1"
"JA000047420","NEMURO, JA","1931-07-02",,"15.4","10.0"
"JA000047420","NEMURO, JA","1931-07-03",,"12.0","9.3"
"JA000047420","NEMURO, JA","1931-07-04",,"13.7","9.5"
"JA000047420","NEMURO, JA","1931-07-05",,"14.9","8.6"
"JA000047420","NEMURO, JA","1931-07-06",,"17.9","9.5"
"JA000047420","NEMURO, JA","1931-07-07",,"16.9","9.5"
"JA000047420","NEMURO, JA","1931-07-08",,"16.2","8.6"
"JA000047420","NEMURO, JA","1931-07-09",,"12.3","8.1"
"JA000047420","NEMURO, JA","1931-07-10",,"10.6","5.3"
"JA000047420","NEMURO, JA","1931-07-11",,"8.3","4.8"
"JA000047420","NEMURO, JA","1931-07-12",,"10.6","4.7"
"JA000047420","NEMURO, JA","1931-07-13",,"11.9","7.2"
"JA000047420","NEMURO, JA","1931-07-14",,"13.4","8.6"
"JA000047420","NEMURO, JA","1931-07-15",,"14.7","9.9"
"JA000047420","NEMURO, JA","1931-07-16",,"17.9","11.9"
"JA000047420","NEMURO, JA","1931-07-17",,"17.3","10.7"
"JA000047420","NEMURO, JA","1931-07-18",,"15.2","9.8"
"JA000047420","NEMURO, JA","1931-07-19",,"15.1","9.8"
"JA000047420","NEMURO, JA","1931-07-20",,"12.9","8.8"
"JA000047420","NEMURO, JA","1931-07-21",,"13.3","7.8"
"JA000047420","NEMURO, JA","1931-07-22",,"11.7","7.8"
"JA000047420","NEMURO, JA","1931-07-23",,"12.2","8.0"
"JA000047420","NEMURO, JA","1931-07-24",,"15.5","8.8"
"JA000047420","NEMURO, JA","1931-07-25",,"19.1","10.8"
"JA000047420","NEMURO, JA","1931-07-26",,"17.6","10.0"
"JA000047420","NEMURO, JA","1931-07-27",,"12.6","9.5"
"JA000047420","NEMURO, JA","1931-07-28",,"18.1","10.9"
"JA000047420","NEMURO, JA","1931-07-29",,"17.6","9.8"
"JA000047420","NEMURO, JA","1931-07-30",,"18.1","8.7"
"JA000047420","NEMURO, JA","1931-07-31",,"20.2","11.6"
"JA000047420","NEMURO, JA","1931-08-01",,"21.6","12.8"
"JA000047420","NEMURO, JA","1931-08-02",,"26.1","13.6"
"JA000047420","NEMURO, JA","1931-08-03",,"23.4","14.6"
"JA000047420","NEMURO, JA","1931-08-04",,"20.9","14.0"
"JA000047420","NEMURO, JA","1931-08-05",,"20.1","13.8"
"JA000047420","NEMURO, JA","1931-08-06",,"24.6","15.0"
"JA000047420","NEMURO, JA","1931-08-07",,"25.8","14.2"
"JA000047420","NEMURO, JA","1931-08-08",,"26.6","13.4"
"JA000047420","NEMURO, JA","1931-08-09",,"23.4","14.8"
"JA000047420","NEMURO, JA","1931-08-10",,"16.7","14.1"
"JA000047420","NEMURO, JA","1931-08-11",,"15.2","11.7"
"JA000047420","NEMURO, JA","1931-08-12",,"18.4","12.2"
"JA000047420","NEMURO, JA","1931-08-13",,"16.7","11.8"
"JA000047420","NEMURO, JA","1931-08-14",,"15.9","12.6"
"JA000047420","NEMURO, JA","1931-08-15",,"18.9","13.2"
"JA000047420","NEMURO, JA","1931-08-16",,"25.7","14.7"
"JA000047420","NEMURO, JA","1931-08-17",,"27.5","13.6"
"JA000047420","NEMURO, JA","1931-08-18",,"23.5","14.0"
"JA000047420","NEMURO, JA","1931-08-19",,"25.3","13.9"
"JA000047420","NEMURO, JA","1931-08-20",,"27.6","17.1"
"JA000047420","NEMURO, JA","1931-08-21",,"27.3","15.1"
"JA000047420","NEMURO, JA","1931-08-22",,"21.8","14.3"
"JA000047420","NEMURO, JA","1931-08-23",,"25.3","15.7"
"JA000047420","NEMURO, JA","1931-08-24",,"22.1","14.4"
"JA000047420","NEMURO, JA","1931-08-25",,"21.5","12.6"
"JA000047420","NEMURO, JA","1931-08-26",,"20.0","14.5"
"JA000047420","NEMURO, JA","1931-08-27",,"21.7","16.5"
"JA000047420","NEMURO, JA","1931-08-28",,"26.3","14.2"
"JA000047420","NEMURO, JA","1931-08-29",,"17.2","11.0"
"JA000047420","NEMURO, JA","1931-08-30",,"17.4","10.7"
"JA000047420","NEMURO, JA","1931-08-31",,"18.9","10.8"
"JA000047420","NEMURO, JA","1931-09-01",,"18.1","12.9"
"JA000047420","NEMURO, JA","1931-09-02",,"14.7","12.4"
"JA000047420","NEMURO, JA","1931-09-03",,"16.4","11.2"
"JA000047420","NEMURO, JA","1931-09-04",,"15.9","10.8"
"JA000047420","NEMURO, JA","1931-09-05",,"14.4","12.4"
"JA000047420","NEMURO, JA","1931-09-06",,"16.4","13.2"
"JA000047420","NEMURO, JA","1931-09-07",,"21.6","13.5"
"JA000047420","NEMURO, JA","1931-09-08",,"17.6","12.3"
"JA000047420","NEMURO, JA","1931-09-09",,"18.9","11.3"
"JA000047420","NEMURO, JA","1931-09-10",,"19.0","12.2"
"JA000047420","NEMURO, JA","1931-09-11",,"20.5","14.0"
"JA000047420","NEMURO, JA","1931-09-12",,"17.1","13.3"
"JA000047420","NEMURO, JA","1931-09-13",,"25.6","15.4"
"JA000047420","NEMURO, JA","1931-09-14",,"22.7","14.9"
"JA000047420","NEMURO, JA","1931-09-15",,"23.9","13.8"
"JA000047420","NEMURO, JA","1931-09-16",,"18.4","11.3"
"JA000047420","NEMURO, JA","1931-09-17",,"14.9","11.2"
"JA000047420","NEMURO, JA","1931-09-18",,"18.9","13.3"
"JA000047420","NEMURO, JA","1931-09-19",,"17.4","13.2"
"JA000047420","NEMURO, JA","1931-09-20",,"22.1","12.7"
"JA000047420","NEMURO, JA","1931-09-21",,"21.3","10.2"
"JA000047420","NEMURO, JA","1931-09-22",,"21.0","12.7"
"JA000047420","NEMURO, JA","1931-09-23",,"20.5","10.9"
"JA000047420","NEMURO, JA","1931-09-24",,"20.2","13.4"
"JA000047420","NEMURO, JA","1931-09-25",,"20.1","13.8"
"JA000047420","NEMURO, JA","1931-09-26",,"20.8","13.7"
"JA000047420","NEMURO, JA","1931-09-27",,"19.0","13.7"
"JA000047420","NEMURO, JA","1931-09-28",,"19.7","15.6"
"JA000047420","NEMURO, JA","1931-09-29",,"19.9","14.6"
"JA000047420","NEMURO, JA","1931-09-30",,"19.4","12.6"
"JA000047420","NEMURO, JA","1931-10-01",,"19.3","10.2"
"JA000047420","NEMURO, JA","1931-10-02",,"20.1","9.9"
"JA000047420","NEMURO, JA","1931-10-03",,"21.7","9.8"
"JA000047420","NEMURO, JA","1931-10-04",,"20.7","9.4"
"JA000047420","NEMURO, JA","1931-10-05",,"21.8","8.9"
"JA000047420","NEMURO, JA","1931-10-06",,"21.1","11.1"
"JA000047420","NEMURO, JA","1931-10-07",,"17.9","14.4"
"JA000047420","NEMURO, JA","1931-10-08",,"16.7","14.1"
"JA000047420","NEMURO, JA","1931-10-09",,"20.4","13.0"
"JA000047420","NEMURO, JA","1931-10-10",,"14.2","10.0"
"JA000047420","NEMURO, JA","1931-10-11",,"11.3","7.0"
"JA000047420","NEMURO, JA","1931-10-12",,"16.2","7.7"
"JA000047420","NEMURO, JA","1931-10-13",,"16.0","7.2"
"JA000047420","NEMURO, JA","1931-10-14",,"13.5","11.1"
"JA000047420","NEMURO, JA","1931-10-15",,"16.2","10.1"
"JA000047420","NEMURO, JA","1931-10-16",,"14.2","10.0"
"JA000047420","NEMURO, JA","1931-10-17",,"15.3","10.7"
"JA000047420","NEMURO, JA","1931-10-18",,"15.2","8.0"
"JA000047420","NEMURO, JA","1931-10-19",,"12.8","6.5"
"JA000047420","NEMURO, JA","1931-10-20",,"10.8","5.8"
"JA000047420","NEMURO, JA","1931-10-21",,"13.4","5.8"
"JA000047420","NEMURO, JA","1931-10-22",,"12.5","7.0"
"JA000047420","NEMURO, JA","1931-10-23",,"11.3","6.3"
"JA000047420","NEMURO, JA","1931-10-24",,"12.7","6.8"
"JA000047420","NEMURO, JA","1931-10-25",,"12.0","7.5"
"JA000047420","NEMURO, JA","1931-10-26",,"13.5","9.7"
"JA000047420","NEMURO, JA","1931-10-27",,"13.9","2.0"
"JA000047420","NEMURO, JA","1931-10-28",,"9.8","1.8"
"JA000047420","NEMURO, JA","1931-10-29",,"9.6","2.8"
"JA000047420","NEMURO, JA","1931-10-30",,"11.5","1.0"
"JA000047420","NEMURO, JA","1931-10-31",,"12.7","3.9"
"JA000047420","NEMURO, JA","1931-11-01",,"13.6","4.5"
"JA000047420","NEMURO, JA","1931-11-02",,"9.5","3.0"
"JA000047420","NEMURO, JA","1931-11-03",,"11.3","2.8"
"JA000047420","NEMURO, JA","1931-11-04",,"12.2","1.4"
"JA000047420","NEMURO, JA","1931-11-05",,"13.7","7.0"
"JA000047420","NEMURO, JA","1931-11-06",,"12.0","3.3"
"JA000047420","NEMURO, JA","1931-11-07",,"11.9","6.3"
"JA000047420","NEMURO, JA","1931-11-08",,"11.0","4.8"
"JA000047420","NEMURO, JA","1931-11-09",,"14.3","2.4"
"JA000047420","NEMURO, JA","1931-11-10",,"13.5","5.7"
"JA000047420","NEMURO, JA","1931-11-11",,"8.6","3.2"
"JA000047420","NEMURO, JA","1931-11-12",,"6.5","3.6"
"JA000047420","NEMURO, JA","1931-11-13",,"7.1","2.3"
"JA000047420","NEMURO, JA","1931-11-14",,"12.4","3.6"
"JA000047420","NEMURO, JA","1931-11-15",,"10.0","4.9"
"JA000047420","NEMURO, JA","1931-11-16",,"5.3","3.2"
"JA000047420","NEMURO, JA","1931-11-17",,"5.5","2.5"
"JA000047420","NEMURO, JA","1931-11-18",,"9.9","0.8"
"JA000047420","NEMURO, JA","1931-11-19",,"3.4","-2.5"
"JA000047420","NEMURO, JA","1931-11-20",,"4.6","-3.0"
"JA000047420","NEMURO, JA","1931-11-21",,"4.3","-5.2"
"JA000047420","NEMURO, JA","1931-11-22",,"7.0","-3.7"
"JA000047420","NEMURO, JA","1931-11-23",,"8.3","-0.2"
"JA000047420","NEMURO, JA","1931-11-24",,"9.2","3.3"
"JA000047420","NEMURO, JA","1931-11-25",,"4.3","1.0"
"JA000047420","NEMURO, JA","1931-11-26",,"4.3","-1.0"
"JA000047420","NEMURO, JA","1931-11-27",,"1.5","-2.6"
"JA000047420","NEMURO, JA","1931-11-28",,"4.6","-5.1"
"JA000047420","NEMURO, JA","1931-11-29",,"2.5","-1.2"
"JA000047420","NEMURO, JA","1931-11-30",,"7.1","-1.5"
"JA000047420","NEMURO, JA","1931-12-01",,"6.9","-1.9"
"JA000047420","NEMURO, JA","1931-12-02",,"-0.4","-3.2"
"JA000047420","NEMURO, JA","1931-12-03",,"4.3","-3.7"
"JA000047420","NEMURO, JA","1931-12-04",,"3.3","-6.0"
"JA000047420","NEMURO, JA","1931-12-05",,"0.2","-3.4"
"JA000047420","NEMURO, JA","1931-12-06",,"3.8","-3.5"
"JA000047420","NEMURO, JA","1931-12-07",,"5.8","-0.4"
"JA000047420","NEMURO, JA","1931-12-08",,"5.0","0.4"
"JA000047420","NEMURO, JA","1931-12-09",,"2.7","-1.7"
"JA000047420","NEMURO, JA","1931-12-10",,"3.2","0.2"
"JA000047420","NEMURO, JA","1931-12-11",,"2.0","-2.3"
"JA000047420","NEMURO, JA","1931-12-12",,"10.1","0.6"
"JA000047420","NEMURO, JA","1931-12-13",,"9.9","-3.6"
"JA000047420","NEMURO, JA","1931-12-14",,"-1.5","-5.7"
"JA000047420","NEMURO, JA","1931-12-15",,"6.1","-6.5"
"JA000047420","NEMURO, JA","1931-12-16",,"8.5","2.5"
"JA000047420","NEMURO, JA","1931-12-17",,"3.1","-4.3"
"JA000047420","NEMURO, JA","1931-12-18",,"-3.1","-8.3"
"JA000047420","NEMURO, JA","1931-12-19",,"-2.9","-9.4"
"JA000047420","NEMURO, JA","1931-12-20",,"-2.0","-9.2"
"JA000047420","NEMURO, JA","1931-12-21",,"1.8","-8.5"
"JA000047420","NEMURO, JA","1931-12-22",,"5.1","-4.0"
"JA000047420","NEMURO, JA","1931-12-23",,"0.3","-6.5"
"JA000047420","NEMURO, JA","1931-12-24",,"2.6","-6.5"
"JA000047420","NEMURO, JA","1931-12-25",,"0.0","-2.2"
"JA000047420","NEMURO, JA","1931-12-26",,"-0.1","-6.0"
"JA000047420","NEMURO, JA","1931-12-27",,"1.6","-6.6"
"JA000047420","NEMURO, JA","1931-12-28",,"3.6","-3.5"
"JA000047420","NEMURO, JA","1931-12-29",,"0.9","-6.7"
"JA000047420","NEMURO, JA","1931-12-30",,"-1.6","-10.5"
"JA000047420","NEMURO, JA","1931-12-31",,"-1.2","-6.2"
"JA000047420","NEMURO, JA","1932-01-01",,"-1.4","-9.0"
"JA000047420","NEMURO, JA","1932-01-02",,"2.8","-6.0"
"JA000047420","NEMURO, JA","1932-01-03",,"2.4","-0.3"
"JA000047420","NEMURO, JA","1932-01-04",,"2.9","-0.7"
"JA000047420","NEMURO, JA","1932-01-05",,"-0.5","-3.7"
"JA000047420","NEMURO, JA","1932-01-06",,"-0.2","-5.8"
"JA000047420","NEMURO, JA","1932-01-07",,"3.0","-4.8"
"JA000047420","NEMURO, JA","1932-01-08",,"4.7","-2.8"
"JA000047420","NEMURO, JA","1932-01-09",,"0.5","-3.7"
"JA000047420","NEMURO, JA","1932-01-10",,"1.5","-7.5"
"JA000047420","NEMURO, JA","1932-01-11",,"2.0","-9.1"
"JA000047420","NEMURO, JA","1932-01-12",,"5.4","-1.7"
"JA000047420","NEMURO, JA","1932-01-13",,"4.2","-3.5"
"JA000047420","NEMURO, JA","1932-01-14",,"1.5","-4.2"
"JA000047420","NEMURO, JA","1932-01-15",,"1.8","-7.0"
"JA000047420","NEMURO, JA","1932-01-16",,"-5.1","-10.7"
"JA000047420","NEMURO, JA","1932-01-17",,"-5.5","-10.5"
"JA000047420","NEMURO, JA","1932-01-18",,"-1.8","-8.6"
"JA000047420","NEMURO, JA","1932-01-19",,"-1.2","-9.9"
"JA000047420","NEMURO, JA","1932-01-20",,"2.0","-8.4"
"JA000047420","NEMURO, JA","1932-01-21",,"2.9","-7.5"
"JA000047420","NEMURO, JA","1932-01-22",,"3.1","-2.1"
"JA000047420","NEMURO, JA","1932-01-23",,"1.8","-6.1"
"JA000047420","NEMURO, JA","1932-01-24",,"3.4","-7.0"
"JA000047420","NEMURO, JA","1932-01-25",,"3.4","-5.4"
"JA000047420","NEMURO, JA","1932-01-26",,"2.4","-4.5"
"JA000047420","NEMURO, JA","1932-01-27",,"1.8","-2.6"
"JA000047420","NEMURO, JA","1932-01-28",,"-1.1","-6.0"
"JA000047420","NEMURO, JA","1932-01-29",,"-1.0","-6.1"
"JA000047420","NEMURO, JA","1932-01-30",,"0.6","-2.5"
"JA000047420","NEMURO, JA","1932-01-31",,"-1.8","-6.0"
"JA000047420","NEMURO, JA","1932-02-01",,"-5.2","-8.2"
"JA000047420","NEMURO, JA","1932-02-02",,"-6.6","-9.0"
"JA000047420","NEMURO, JA","1932-02-03",,"-6.5","-9.0"
"JA000047420","NEMURO, JA","1932-02-04",,"-5.0","-7.1"
"JA000047420","NEMURO, JA","1932-02-05",,"-4.9","-6.9"
